index,variable,value,year
소계,2021OTT이용경험,81.7,1
남,2021OTT이용경험,84.6,1
여,2021OTT이용경험,78.7,1
만10대미만,2021OTT이용경험,77.2,1
만10-19세,2021OTT이용경험,91.4,1
만20-29세,2021OTT이용경험,97.9,1
만30-39세,2021OTT이용경험,96.5,1
만40-49세,2021OTT이용경험,93.6,1
만50-59세,2021OTT이용경험,88.4,1
만60-69세,2021OTT이용경험,70.6,1
만70세이상,2021OTT이용경험,23.4,1
소계,2020OTT이용경험,72.2,0
남,2020OTT이용경험,75.2,0
여,2020OTT이용경험,69.1,0
만10대미만,2020OTT이용경험,67.1,0
만10-19세,2020OTT이용경험,83.8,0
만20-29세,2020OTT이용경험,95.7,0
만30-39세,2020OTT이용경험,94.1,0
만40-49세,2020OTT이용경험,84.9,0
만50-59세,2020OTT이용경험,75.2,0
만60-69세,2020OTT이용경험,48.3,0
만70세이상,2020OTT이용경험,10.3,0
